target,text
0,kalli wont bat 2nd inning
1,rington club get uk singl chart mobil week choos top qualiti rington messag free charg
1,2nd attempt contact u u 09071512432 b4 300603t
0,finish lunch alreadi u wake alreadi
0,ok lar joke wif u oni
0,made day great day
0,ok thanx
0,yeah confirm stay weekend
0,k give sec break lt gt cstore
1,urgent mobil number award bonu caller prize call 09058095201 land line valid 12hr
0,pic pleas
0,cant pick phone right pl send messag
0,playin space poker u
0,come friday leav pongal get news work place
0,whatev want know rule talk earlier week start happen show respons yet everi week bend rule way way whatev tire thia argument everi week lt gt movi doesnt inlud preview still get 1
0,hey realli pretti late want go lesson first join reach tp mrt
0,come
0,k k good studi well
0,know lt gt around 5
0,late
0,chk ur belovd ms dict
0,done sorri hope next space give everyth want rememb furnitur around move lock lock leav key jenn
0,slave want take 2 3 pictur today bright light cell phone bright light
0,text get call phone problem
1,1 new voicemail pleas call 08719181513
1,doubl min doubl txt price linerent latest orang bluetooth mobil call mobileupd8 latest offer 08000839402
0,meant calcul lt gt unit lt gt school realli expens start practic accent import decid 4year dental school nmde exam
1,u secret admir look 2 make contact r reveal think ur 09058094565
0,promis take good care princess run pleas send pic get chanc ttyl
0,fp
0,play w comput aiyah tok 2 u lor
1,want funk ur fone weekli new tone repli tones2u 2 text origin n best tone 3gbp network oper rate appli
0,keep ten rs shelf buy two egg
1,congratul thank good friend u xma prize 2 claim easi call 08712103738 10p per minut
0,sorri delay ye master
0,yun ubi one say wan call 67441233 look got ubi cre ubi tech 1st 5wkg
1,hello darl today would love chat dont tell look like sexi
0,yeah sure thing mate haunt got stuff sort im go sound anyway promot hex way dont know number joke
1,congratul winner august prize draw call 09066660100 prize code 2309
0,sef dey laugh meanwhil darl anji
0,pl call da happen
0,yup paragon havent decid whether 2 cut yet hee
0,oh mr sheffield wan na play game okay boss nanni give rais give one
0,meet u work tel shall work tomorrow
0,happi say
0,yup next stop
0,yo call get chanc friend mine want ask big order
0,thank send mental abil question
0,see k
0,fyi gon na call sporad start like lt gt bc doin shit
1,hack chat get backdoor entri 121 chat room fraction cost repli neo69 call 09050280520 subscrib 25p pm dp bcm box 8027 ldn wc1n3xx
0,idp linux system
0,accident delet messag resend pleas
0,whore unbeliev
0,prasanth ettan mother pass away last night pray famili
1,urgent tri contact today draw show prize guarante call 09050001295 land line claim a21 valid 12hr
0,alright omw got ta chang order half8th
0,call ah
0,met stranger choos friend long world stand friendship never end let friend forev gud nitz
1,free camera phone linerent 750 cross ntwk min price txt bundl deal also avbl call 08001950382 mf
0,aaooooright work
0,career tel ad u contact send free sm remov phonebook sm lt gt
0,sindu got job birla soft
1,guarante latest nokia phone 40gb ipod mp3 player prize txt word collect 83355 ibhltd ldnw15h
0,chennai velacheri
1,life never much fun great came made truli special wo forget enjoy one
0,wish great day moji told offer alway speechless offer easili go great length behalf stun exam next friday keep touch sorri
0,want go perumbavoor
0,deep sigh miss realli surpris gone net cafe yet get miss
0,respond
0,cool come like lt gt ish
0,stop stori told return say order
0,tot u outsid co darren say u come shop cours nice wat ju went sim lim look mp3 player
0,ju finish avatar nigro
0,whatev im pretti piss
0,oop shower u call hey park garag collaps univers hospit see crazi stuff like happen
0,aight still want get money
0,anybodi number still thought tact way ask alex
0,good night go sleep
0,oh right make sure load work day got realli nasti cough today dri n shot realli help
0,tot u reach liao said
1,thank rington order ref number k718 mobil charg tone arriv pleas call custom servic 09065069120
0,luv u soo much u donåõt understand special u r 2 ring u 2morrow luv u xxx
0,hmmm mani player select
1,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil menu
0,leav de start prepar next
0,must sit around wait summer day celebr magic sight world dress white oooooh let snow
0,long get repli defer admiss til next semest
1,500 new mobil 2004 must go txt nokia 89545 collect today 2optout txtauction
0,hey mate how u honey u ave good holiday gimmi de goss x
0,u still havent got urself jacket ah
0,cramp stop go back sleep
0,wat time u finish ur lect today
0,dear call
0,ye repli mail go manag offic later plu bank later wednesday
0,u dun wan u dun like alreadi ah wat u still eat
0,u meet fren dun wan meet ah muz b guy rite
1,knock knock txt whose 80082 enter r weekli draw 4 gift voucher 4 store yr choic cs age16
1,today voda number end 7634 select receiv reward match pleas call 08712300220 quot claim code 7684 standard rate appli
0,need drug anymor
0,good afternoon gloriou anniversari day sweet j hope find happi content prey think send teas kiss across sea coax imag fond souveni
0,mm way railway
0,pl pl find aunt nike
0,room number wan na make sure knock right door
0,love daddi make scream pleasur go slap ass dick
0,right brah see later
0,well boy glad g wast night applebe noth
1,great news call freefon 08006344447 claim guarante cash gift speak live oper
0,good afternoon boytoy feel today better hope good boy obedi slave pleas queen
1,well done england get offici poli rington colour flag yer mobil text tone flag 84199 txt eng stop box39822 w111wx
1,repli name address receiv post week complet free accommod variou global locat
0,k 4
0,al moan n e thin goe wrong fault al de argument r fault fed himso bother hav 2go
0,neva mind ok
1,sm auction brand new nokia 7250 4 auction today auction free 2 join take part txt nokia 86021
0,hey almost forgot happi babe love ya
0,noth got msg frm tht unknown
0,reach ur home lt gt minut
0,sound like someth someon test would sayi
0,drug abl eat
0,wake gt
0,co lar ba dao ok 1 pm lor u never ask go ah said u would ask fri said u ask today
0,8 latest g still scroung ammo want give new ak tri
0,aight set free think could text blake address occur quit sure thought
0,pick variou point go 2 yeovil motor project 4 3 hour u take home 12 2 max easi
0,ok bag
0,surpris still guess right lor
0,good need drug
0,printer cool mean groovi wine groovi
0,left alreadi orchard
0,hi kindli give us back document submit loan stapati
1,guess somebodi know secretli fanci wan na find give us call 09065394514 landlin datebox1282essexcm61xn 18
0,realli still tonight babe
1,win newest åòharri potter order phoenix book 5 repli harri answer 5 question chanc first among reader
0,next lt gt hour imma flip shit
0,haha awesom minut
0,ok noth problem
0,look like found someth smoke great job
1,text banneduk 89555 see cost 150p textoper g696ga xxx
1,freemsg txt call 86888 claim reward 3 hour talk time use phone inc 3hr 16 stop txtstop
1,six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info
0,ok prob come lunch
0,hey time drive fri go evalu fri
0,sent
1,sunshin quiz wkli q win top soni dvd player u know countri liverpool play mid week txt ansr sp tyron
0,aight plan come later tonight
0,dont make ne plan nxt wknd coz want us come ok
0,messag responc happend
1,2004 account 07xxxxxxxxx show 786 unredeem point claim call 08719181259 identifi code xxxxx expir
0,go chase run cross street
0,day work day except saturday sunday
0,idea
0,sorri free
0,thank gener date brotha
0,aiyo lesson earli still sleepin haha oki u go home liao den confirm w lor
1,forward 21870000 hi mailbox messag sm alert 4 messag 21 match pleas call back 09056242159 retriev messag match
0,sorri call later
0,well must pain catch
0,2 laptop noe infra slow lar wan fast one
0,noth ju tot u would ask co u ba gua went mt faber yest yest ju went alreadi mah today go ju call lor
0,indian r poor india poor countri say one swiss bank director say lt gt lac indian money deposit swiss bank use budget lt gt yr give lt gt crore job indian villag delhi 4 lane road forev free power supli lt gt social project everi citizen get monthli lt gt lt gt yr need world bank amp imf loan think money block rich politician full right corrupt politician itna forward karo ki pura india
0,aight sorri take ten year shower plan
0,ok
0,ye gauti sehwag odi seri
0,plan famili set stone
1,download mani rington u like restrict 1000 2 choos u even send 2 yr buddi txt sir 80082
0,go buy mum present ar
1,well done 4 costa del sol holiday await collect call 09050090044 toclaim sae tc pobox334 stockport sk38xh max10min
0,slept thinkthi time lt gt pm danger
1,ur current 500 pound maxim ur send go 86688 cc 08718720201
0,left yet probabl gon na til dinner
0,hope piss rememb gone sister someth
1,custom servic announc recent tri make deliveri unabl pleas call 07090298926
0,multimedia messag
0,monthli amount terribl pay anyth till 6month finish school
0,velli good ye pleas
0,wondarful song
0,pansi live jungl two year drive worri
0,yup shd haf ard 10 page add figur ìï got mani page
0,seriou like proper tongu
0,dude go sup
1,twink bear scalli skin jock call miss weekend fun call 08712466669 2 stop text call 08712460324 nat rate
0,dont thnk wrong call us
1,win shop spree everi week start 2 play text store skilgm tscs08714740323 1winawk age16
0,babe
0,lol differ go tri find everi real life photo ever took
0,oh ask fun haha take care
0,like shake booti danc floor
1,privat 2003 account statement show 800 point call 08715203694 identifi code 40533 expir
0,would smoke help us work difficult time
0,decid peopl care stuff vote care stuff loser
0,part check iq
0,chikku nt yet ya free
0,live simpl love also simpl laugh simpl win tooo simpl difficult
0,u wear
0,messag great doctor india 1 drink appi fizz contain cancer caus age
1,sm servic inclus text credit pl goto 3qxj9 unsubscrib stop extra charg help 9ae
0,hi darlin im helen fone im gon na b princ 2 nite pleas come tb love kate
0,go good problem still need littl experi understand american custom voic
1,freemsg fav xma tone repli real
0,storm msg wen u lift phne u say u knw wt real mean hello name girl ye u knw dat girl margaret girlfrnd f grahmbel invnt telphon moral one 4get name person
0,peopl see msg think iam addict msging wrong bcoz know iam addict sweet friend bslvyl
0,guess could good excus lol
0,india take lead
0,mm ask come enough
0,india go draw seri mani year south african soil
0,know thing wrong everyso often panick start goin bout bein good enough
0,want snow freez windi
0,phone weirdest auto correct
0,gud ni8 dear slp well take care swt dream muah
0,k need login anyth
0,ladi first genu second k
0,still west coast haiz ìï take forev come back
0,go buy wif meet later
0,home love still awak love kiss
0,also rememb bead come ever
0,alright bring see like lt gt min
0,oi gon na ring
0,money money aint thing sha
0,say hi get ass back south tampa prefer kegger
0,could ask carlo could get anybodi els chip
0,tee hee lectur cheeri bye bye
0,friend studi warwick plan go shop concert tmw may cancel hav seen age yeah get togeth sometim
0,yeah think usual guy still pass last night get ahold anybodi let know throw
0,hamster dead hey tmr meet 1pm orchard mrt
0,gal n boy walk park hold ur hand u think would run away jst wana c feel walk heaven princ gn
0,pl tell nelson bb longer comin money expect aint come
0,come din c yup cut hair
0,dip cell dead come u better respond els shall come back
0,ya referin mei ex wat ah waitin 4 u treat somebodi shld b rich liao gd den u dun work frm tmr onward
0,gibb hussey
0,confirm eat esplanad
0,guy go see movi side
1,ur current 500 pound maxim ur send cash 86688 cc 08708800282
0,k 2marrow come class
0,gloucesterroad uup later
0,agre stop thinkin ipad pleas ask macho question
0,tri make anoth butt
0,eh u send wrongli lar
0,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wo go badli cheer
1,congrat 2 mobil 3g videophon r call 09061744553 videochat wid ur mate play java game dload polyh music nolin rentl bx420 ip4 5we 150pm
0,sch neva mind u eat 1st lor
0,gettin bit arti collag mo well tryin 2 ne way got roast min love shall enjoy
0,spoon okay
